,Summary,top_terms
22,"Ms Druyun had talks with Mr Sears in October 2002 about working for Boeing, while she was still a top procurement official within the Pentagon.Mr Sears told prosecutors that no other Boeing officials were aware that Ms Druyun was still responsible for major procurement decisions at the time she was discussing a job with Boeing.Boeing sacked Mr Sears and Ms Druyun in November 2003 after allegations that they had violated company recruitment policy.Ms Druyun admitted that she had steered multi-billion dollar contracts to Boeing and other favoured companies.The Pentagon subsequently revoked $1bn worth of contracts assigned to Boeing and prohibited the Seattle-based company from future rocket work.Boeing lost a $23bn government contract after a Pentagon inquiry into the case.Ms Druyun is currently serving a nine month sentence for favouring Boeing when awarding lucrative contracts.Boeing was sued by Lockheed Martin after its rival accused it of industrial espionage during a 1998 contract competition.","['ex', 'prosecutors', 'air', 'allegations', 'contract', 'pentagon', 'contracts', 'ms', 'druyun', 'boeing']"
23,"In the fourth quarter alone Ford reported net income of $104m, compared with a loss of $793m a year ago.Ford, the US car company, reported higher fourth quarter and full-year profits on Thursday boosted by a buoyant period for its car loans unit.Though car and truck loan profits saved the day, Ford's auto unit made a pre-tax loss of $470m in the fourth quarter (compared to a profit of Â£13m in the year-ago period) and its US sales dipped 3.8%.Fourth quarter turnover was $44.7bn, compared to $45.9bn a year ago.Total company vehicle unit sales in 2004 were 6,798,000, an increase of 62,000 units from 2003.Recent new models introduced by Ford include the Ford Five Hundred and Mercury Montego sedans, the Ford Freestyle crossover, the Ford Mustang, the Land Rover LR3/Discovery, and Volvo S40 and V50 in North America and Europe.In addition, the company said 2004 net income was affected by a fourth-quarter pre-tax charge taken to reduce the value of a receivable owed to Ford by Visteon, a former subsidiary.But Ford declined to provide guidance for first quarter 2005.","['pre', 'loss', 'vehicle', 'income', 'models', 'ago', 'unit', 'quarter', 'fourth', 'ford']"
24,"Mr Bush, however, has said the best way to halt the dollar's slide is to deal with the US deficit.US president George W Bush has pledged to introduce a ""tough"" federal budget next February in a bid to halve the country's deficit in five years.""We will submit a budget that fits the times,"" Mr Bush said.The US budget and its trade deficit are both deep in the red, helping to push the dollar to lows against the euro and fuelling fears about the economy.Mr Bush indicated there would be ""strict discipline"" on non-defence spending in the budget.","['deal', 'hit', 'term', 'federal', 'mr', 'tough', 'dollar', 'budget', 'bush', 'deficit']"
25,"Yangtze Electric Power, the operator of China's Three Gorges Dam, has said its profits more than doubled in 2004.The Three Gorges Dam project has led to more than half a million people being relocated and drawn criticism from environmental groups and overseas human rights activists.Yangtze Electric has been expanding its output to meet demand driven by China's booming economy.The firm has benefited from increased demand for electricity at a time when power shortages have hit cities and provinces across the country.Earlier this month, work was halted on an underground power station, and a supply unit on the Three Gorges Dam, as well as a power station on its sister Xiluodu dam because of environmental worries.Sales surged to 6.2bn yuan, from 3bn yuan a year earlier.","['china', 'led', 'supply', 'demand', 'project', 'environmental', 'yuan', 'yangtze', 'power', 'dam']"
26,"Other countries also are reported to have pledged cash, while the US State Department said it was examining what aid was needed in the region.Other agencies, such as the Asian Development Bank, have said that it is too early to comment on the amount of aid needed.Growth has been rapid in southeast Asia, with the World Tourism Organisation figures showing a 45% increase in tourist revenues in the region during the first 10 months of 2004.""I should assume, however, that the overall dimension of insured damages is below the storm damages of the US,"" he said.The European Union has said it will deliver 3m euros (Â£2.1m; $4.1m) of aid, according to the Wall Street Journal.Early estimates from the World Bank put the amount of aid needed at about $5bn (Â£2.6bn), similar to the cash offered Central America after Hurricane Mitch.Tourism is a vital part of the economies of the stricken countries, providing jobs for 19 million people in the south east Asian region, according to the World Travel and Tourism Council (WTTC).""India continues to post excellent results thanks to increased promotion and product development, but also to the upsurge in business travel driven by the rapid economic development of the country,"" the WTO said.The EU's Humanitarian Aid Commissioner, Louis Michel, was quoted as saying that it was key to bring aid ""in those vital hours and days immediately after the disaster"".Governments, aid agencies, insurers and travel firms are among those counting the cost of the massive earthquake and waves that hammered southern Asia.Mitch killed about 10,000 people and caused damage of about $10bn in 1998.December and January are two of the busiest months for the travel in southern Asia and the damage will be even more keenly felt as the industry was only just beginning to emerge from a post 9/11 slump.Only Sri Lanka and Bangladesh currently receive IMF support, while Indonesia, the quake's epicentre, has recently graduated from IMF assistance.The International Monetary Fund (IMF) has promised rapid action to help the governments of the stricken countries cope.Tourism also brings in much needed foreign currency.""Arrivals to other destinations such as... Maldives and Sri Lanka also thrived.""Allianz has said it sees no significant impact on its profitability.","['needed', 'sri', 'lanka', 'asia', 'imf', 'travel', 'region', 'tourism', 'damage', 'aid']"
27,"Minutes of the December meeting which pushed rates up to 2.25% showed that policy-makers at the Fed are worried about accelerating inflation.The key Fed funds rate has risen 1.25 percentage points during 2004 from the 46-year low of 1% reached not long after the 9/11 attacks in 2001.The US looks set for a continued boost to interest rates in 2005, according to the Federal Reserve.The odds now favour a further boost to rates at the next meeting in early February, economists said.This, too, is being taken in some quarters as a sign of aggressive moves on interest rates to come.The clear signal pushed the dollar up to $1.3270 to the euro by 0400 GMT on Wednesday, but depressed US shares.","['wednesday', 'federal', 'points', 'minutes', 'meeting', 'dollar', 'pushed', 'markets', 'rates', 'fed']"
28,"""The task is not simply to double GDP; instead it is to use GDP to qualitatively improve people's lives,"" Mr Gref told Kommersant.Economy minister German Gref told the Kommersant newspaper that direct state involvement in oil was ""unjustified"".And he warned that using back taxes to deal with firms like Yukos - a technique now being applied by the Kremlin to several other firms - was a mistake.The privatisation of companies such as Yukos in the 1990s had been badly handled, he said.Mr Gref also poured cold water on President Putin's promises of doubled economic growth within a decade.His comments follow the sale of much of oil giant Yukos to cover back taxes - a deal which effectively took most of the firm's assets into public ownership.The assault on Yukos' assets has been widely blamed for a slowdown in economic growth in recent months.Yuganskneftegaz, the unit which produced 60% of Yukos' output, had been seized and sold in December for less than $10bn to a previously unknown firm called Baikal.Mr Gref, a well-known opponent of nationalisation in competitive parts of the market, was keen to distance himself from Mr Iliaronov's comments.","['comments', 'putin', 'economic', 'sale', 'companies', 'baikal', 'state', 'gdp', 'taxes', 'yukos']"
29,"UK-based bank Standard Chartered said it would spend $3.3bn (Â£1.8bn) to buy one of South Korea's main retail banks.The move, a year after Citigroup beat Standard Chartered to buy Koram bank, would be the South Korean financial sector's biggest foreign takeover.Standard Chartered said KFB was a ""well-managed, conservatively run bank with a highly skilled workforce"" and represented a ""significant acquisition in a growth market"".Some analysts also queried whether Standard Chartered had overpaid for KFB.Standard Chartered said acquiring Korea First Bank (KFB) fulfilled a strategic objective of building a bigger presence in Asia's third largest economy.Standard Chartered expects about 16% of future group revenue to come from KFB.This time around, Standard Chartered is thought to have beaten HSBC to the deal.KFB is South Korea's seventh largest bank, with 3 million retail customers, 6% of the country's banking market and an extensive branch network.Standard Chartered said it was buying 100% of KFB, an agreement that would bring an end to the bank's complex dual ownership.HSBC will now have to wait for the next South Korean bank in line to be sold off - thought likely to be Korea Exchange Bank, also currently in the hands of a US group.Standard Chartered sees ""the opportunity to create value by the introduction of more sophisticated banking products"".The deal, which requires regulatory approval, is expected to be completed by April 2005 and to be earnings accretive in 2006, Standard Chartered said.Standard Chartered has its headquarters in London but does two thirds of its business in Asia, and much of the rest in Africa.","['financial', 'retail', 'london', 'banking', 'korean', 'bank', 'korea', 'south', 'standard', 'chartered']"
30,"Yantai State Asset Management Bureau - a government agency in the north-eastern city of Yantai - owns 55% of Changyu.The consumption of wine in China is still low, at just 0.22 litres per capita, said the US Agriculture Department.Italy's Illva Saronno has agreed to buy 33% of Changyu, the largest wine maker in China.Chinese wine sales are growing, the US Agriculture Department said, with wine sales in 2003 up 25% at 61.1bn yuan.The Italian liqueur maker will acquire the shares from the Yantai State Asset Management Bureau.","['agency', 'city', 'maker', 'department', 'management', 'state', 'yuan', 'china', 'chinese', 'wine']"
31,"The owner of the technology-dominated Nasdaq stock index plans to sell shares to the public and list itself on the market it operates.The Nasdaq is made up shares in technology firms and other companies with high growth potential.Nasdaq will not make money from the sale, only investors who bought shares in the private placings, the filing documents said.According to a registration document filed with the Securities and Exchange Commission, Nasdaq Stock Market plans to raise $100m (Â£52m) from the sale.","['water', 'plans', 'private', '1990s', 'boom', 'stock', 'shares', 'sale', 'public', 'technology']"
32,"Crude oil prices surged back above the $47 a barrel mark on Thursday after an energy market watchdog raised its forecasts for global demand.The US Department of Energy reported that crude stockpiles had fallen 1m barrels to 294.3m.The International Energy Agency (IEA) warned demand for Opec's crude in the first quarter would outstrip supply.The IEA raised its estimate of 2005 oil demand growth by 80,000 barrels a day to 84 million barrels a day.","['barrel', 'day', 'prices', 'raised', 'watchdog', 'opec', 'oil', 'demand', 'energy', 'crude']"
33,"The 337,000 new jobs added to US payrolls in October was twice the 169,000 figure that Wall Street economists had forecast.The US economy added 337,000 jobs in October - a seven-month high and far more than Wall Street expectations.Kathleen Utgoff, commissioner of the Bureau of Labor, said many of the 71,000 new construction jobs added in October were involved in rebuilding and clean-up work in Florida, and neighbouring Deep South states, following four hurricanes in August and September.Other analysts said the upbeat jobs data made it more likely that the US Federal Reserve would increase interest rates by a quarter of a percentage point to 2% when it meets next week.In addition, the Labor Department revised up the number of jobs created in the two previous months - to 139,000 in September instead of 96,000, and to 198,000 in August instead of 128,000.In a welcome economic boost for newly re-elected President George W Bush, the Labor Department figures come after a slow summer of weak jobs gains.","['street', 'instead', 'bush', 'added', 'wall', 'august', 'created', 'october', 'september', 'jobs']"
34,"Japan's economy grew 2.6% overall last year - fuelled by a strong performance in the first few months - and is forecast to see growth of 2.1% in 2005.Japan's economy has seen stretches of moderate growth over the past decade but has periodically slipped back into recession.A recession is commonly defined as two consecutive quarters of negative growth, although the Japanese government takes other factors into account when judging the status of its economy.The Japanese economy has officially gone back into recession for the fourth time in a decade.Gross domestic product fell by 0.1% in the last three months of 2004.The Tokyo stock market fell after the figures were announced, but rose again on a widespread perception that the economy will recover later this year.""The economy has some soft patches but if you look at the bigger picture, it is in a recovery stage,"" said Economic and Fiscal Policy Minister Heizo Takenaka.The fall reflects weak exports and a slowdown in consumer spending, and follows similar falls in GDP in the two previous quarters.","['factors', 'fell', 'consumer', 'figures', 'growth', 'gdp', 'spending', 'japan', 'economy', 'recession']"
35,"After the ONS announcement, economists said there could also be a proportionate boost to the current budget in 2004/05 of about Â£400m.It also said the government might narrowly miss its ""golden rule"" if the current economic cycle ended in 2005/06.In January the independent Institute for Fiscal Studies (IFS) said Mr Brown would need to raise taxes to get public finances onto the track predicted in last year's Budget.The Conservatives also said Mr Brown would still be forced to raise taxes after the general election to fill an annual Â£10.5bn ""black hole"" in the nation's coffers.The changes by the ONS increase the current budget measure for the past five years by Â£2.1bn in total.But the Treasury said there would be no relaxation of economic discipline and the golden rule would be met even without the data revisions.Correcting the error would mean reducing current expenditure and increasing net investment, thus helping Mr Brown to meet his ""golden rule"" of borrowing only to invest over the economic cycle.","['said', 'fiscal', 'chancellor', 'changes', 'current', 'ons', 'budget', 'brown', 'rule', 'golden']"
36,"The company didn't give details of its investment but it said the new plant would produce 150,000 cars a year.South Korea's Hyundai Motor has announced that it plans to build a second plant in India to meet the country's growing demand for cars.South Korea's top car maker estimates that the Indian market will grow 15% this year, to 920,000 vehicles, reaching 1.6 million vehicles by 2010.Hyundai expects its sales in India to grow 16% to 250,000 in 2005.Demand in India has been driven by the poor state of public transport and the very low level of car ownership, analysts said.","['vehicles', 'build', 'auto', 'korea', 'south', 'growing', 'cars', 'car', 'plant', 'india']"
37,"Fidel Castro's decision to ban all cash transactions in US dollars in Cuba has once more turned the spotlight on Cuba's ailing economy.Those remaining in Cuba will have to pay the tax.A leading expert on the Cuban economy says that Castro's tax plan smacks more of a desperate economic measure than a political gesture.The tax is designed to provide much-needed revenue for Cuba's cash-strapped economy.All conversions between the US dollar and Cuba's ""convertible"" peso will from 8 November be subject to a 10% tax.It has however yet to be seen if the tax will provide a solution to the government's economic problems.Cubans living in the US are now limited to one visit to Cuba every three years and they can only send money to their immediate relatives.Cuban citizens, who receive money from overseas, and foreign visitors, who change dollars in Cuba, will be affected.Mr Barrioneuvo says the measure could be dropped if it has a damaging effect on economic activity.President Bush's government, which has been a strong supporter of the 40-year-old trade embargo on Cuba, introduced even tighter restrictions on Cuba in May.The tax could fuel an active black market in currency trading, Mr Barrionuevo said.Their relatives abroad may choose to send money in other currencies which are not subject to the tax, such as euros, or increase their dollar payments to compensate.","['cash', 'dollars', 'says', 'money', 'economy', 'relatives', 'economic', 'measure', 'tax', 'cuba']"
